Date,Nordic Countries
2014-07,6452.185
2014-08,6441.3
2014-09,6285.971
2014-10,6114.002
2014-11,6143.266
2014-12,5832.659
2015-01,5940.188
2015-02,6340.682
2015-03,6197.845
2015-04,6358.504
2015-05,6268.772
2015-06,6070.943
2015-07,6219.176
2015-08,5804.548
2015-09,5591.142
2015-10,5838.091
2015-11,5880.445
2015-12,5833.086
2016-01,5479.298
2016-02,5419.641
2016-03,5717.316
2016-04,5770.017
2016-05,5693.311
2016-06,5477.982
2016-07,5681.603
2016-08,5600.24
2016-09,5639.1
2016-10,5336.073
2016-11,5202.432
2016-12,5441.56
2017-01,5684.357
2017-02,5684.663
2017-03,5782.716
2017-04,6045.074
2017-05,6310.042
2017-06,6335.296
2017-07,6533.917
2017-08,6653.295
2017-09,6773.356
2017-10,6769.111
2017-11,6619.1
2017-12,6673.82
2018-01,7028.883
2018-02,6813.397
2018-03,6607.065
2018-04,6543.198
2018-05,6378.965
2018-06,6321.706
2018-07,6588.472
2018-08,6568.054
2018-09,6627.566
2018-10,5986.722
2018-11,5907.38
2018-12,5716.464
2019-01,6036.459
2019-02,6200.143
2019-03,6162.915
2019-04,6271.082
2019-05,5847.13
2019-06,6273.132
2019-07,6065.184
2019-08,5928.392
2019-09,6066.645
2019-10,6301.391
2019-11,6361.816
2019-12,6684.899
2020-01,6609.356
2020-02,6144.812
2020-03,5446.288
2020-04,5891.991
2020-05,6326.441
2020-06,6461.648
2020-07,7052.84
2020-08,7436.454
2020-09,7352.239
2020-10,7002.305
2020-11,7998.278
2020-12,8353.887
2021-01,8355.098
2021-02,8458.417
2021-03,8688.269
2021-04,9104.657
2021-05,9439.785
2021-06,9365.76
2021-07,9782.377
2021-08,9864.238
2021-09,9339.206
2021-10,9787.225
2021-11,9185.61
2021-12,9770.075
2022-01,8865.06
2022-02,8518.293
2022-03,8705.812
2022-04,8178.883
2022-05,8052.865
2022-06,7222.572
2022-07,7845.959
2022-08,7257.257
2022-09,6453.126
2022-10,6957.387
2022-11,7714.522
2022-12,7877.818
2023-01,8159.583
2023-02,8289.166
2023-03,8415.943
2023-04,8658.278
2023-05,8040.451
2023-06,8263.647
2023-07,8393.002
2023-08,8265.288
2023-09,8147.262
2023-10,7886.059
2023-11,8691.263
2023-12,9294.714

