Date,Hang Seng
2020-04,24643.58984375
2020-05,22961.470703125
2020-06,24427.189453125
2020-07,24595.349609375
2020-08,25177.05078125
2020-09,23459.05078125
2020-10,24107.419921875
2020-11,26341.490234375
2020-12,27231.130859375
2021-01,28283.7109375
2021-02,28980.2109375
2021-03,28378.349609375
2021-04,28724.880859375
2021-05,29151.80078125
2021-06,28827.94921875
2021-07,25961.029296875
2021-08,25878.990234375
2021-09,24575.640625
2021-10,25377.240234375
2021-11,23475.259765625
2021-12,23397.669921875
2022-01,23802.259765625
2022-02,22713.01953125
2022-03,21996.849609375
2022-04,21089.390625
2022-05,21415.19921875
2022-06,21859.7890625
2022-07,20156.509765625
2022-08,19954.390625
2022-09,17222.830078125
2022-10,14687.01953125
2022-11,18597.23046875
2022-12,19781.41015625
2023-01,21842.330078125
2023-02,19785.939453125
2023-03,20400.109375
2023-04,19894.5703125
2023-05,18234.26953125
2023-06,18916.4296875
2023-07,20078.939453125
2023-08,18382.060546875
2023-09,17809.66015625
2023-10,17112.48046875
2023-11,17042.880859375
2023-12,17047.390625
2024-01,15952.23046875
