Date,MSCI USA
2018-10,812488.6551004625
2018-11,828318.2554389855
2018-12,753704.1279383654
2019-01,815687.4060671501
2019-02,842994.3239023538
2019-03,858580.1730553164
2019-04,893008.6235827995
2019-05,836547.9404082703
2019-06,895304.0141245823
2019-07,909135.2341207885
2019-08,893324.8216187822
2019-09,909215.341514307
2019-10,929009.0905111406
2019-11,963934.0171887996
2019-12,992195.3657362147
2020-01,994137.7146776005
2020-02,913070.7104606538
2020-03,797260.8086615207
2020-04,902131.8197072942
2020-05,949058.1909445085
2020-06,970714.3274043162
2020-07,1028337.8080632688
2020-08,1105546.16024397
2020-09,1064302.2339602818
2020-10,1036609.3706681452
2020-11,1156541.155355814
2020-12,1204237.6665256154
2021-01,1193067.1355405424
2021-02,1224225.1178264485
2021-03,1270280.8865801876
2021-04,1339416.1936585295
2021-05,1345855.7191426028
2021-06,1383326.4996425079
2021-07,1416036.7268323288
2021-08,1457826.0108269008
2021-09,1388993.5505522888
2021-10,1485874.3962762465
2021-11,1470913.282652153
2021-12,1529046.6636510878
2022-01,1442473.479929377
2022-02,1400213.4738009425
2022-03,1449442.531335269
2022-04,1318041.600396889
2022-05,1315154.815928093
2022-06,1206292.5160141832
2022-07,1318806.7792158523
2022-08,1267147.6514963594
2022-09,1149628.2083084062
2022-10,1240890.0821502048
2022-11,1308402.813243255
2022-12,1231472.283425503
2023-01,1312497.847752178
2023-02,1281165.4969138955
2023-03,1326670.6550129135
2023-04,1343506.4129689347
2023-05,1352245.9253206484
2023-06,1442415.98937738
2023-07,1492067.835933054
2023-08,1466917.7622459256
2023-09,1398134.621277341
2023-10,1365961.2887222213
2023-11,1494760.772182744
2023-12,1565186.1147184568
