Date,MSCI ACWI IMI
2015-12,41236.32094136574
2016-01,38662.095628539355
2016-02,38480.627144701255
2016-03,41417.984029476065
2016-04,42095.6285393652
2016-05,42215.342600821234
2016-06,41934.59350410939
2016-07,43814.47077368171
2016-08,43981.92774992053
2016-09,44322.25818797475
2016-10,43474.399807990456
2016-11,43967.81894018514
2016-12,44933.08856440429
2017-01,46159.38738575108
2017-02,47450.91107233441
2017-03,48044.19463021945
2017-04,48837.30434162132
2017-05,49853.00890638886
2017-06,50168.46243164526
2017-07,51562.02362495865
2017-08,51768.23928541312
2017-09,52897.65761324347
2017-10,53978.91138370125
2017-11,55061.91659260893
2017-12,55978.98922541013
2018-01,59008.68583734977
2018-02,56566.564391310276
2018-03,55543.3026939718
2018-04,56092.0218735202
2018-05,56358.92163285958
2018-06,56043.63027783004
2018-07,57613.89215031234
2018-08,58167.99538139194
2018-09,58284.40117022036
2018-10,53737.439915930954
2018-11,54520.884281812934
2018-12,50598.82977964309
2019-01,54730.992027711654
2019-02,56277.18783853035
2019-03,56893.17522817351
2019-04,58803.7026706193
2019-05,55329.85424140011
2019-06,58914.36763341744
2019-07,59111.890969713095
2019-08,57647.36408513288
2019-09,58883.23094986346
2019-10,60519.204198262836
2019-11,62051.71284193593
2019-12,64278.731699089905
2020-01,63443.58746489015
2020-02,58274.76825874584
2020-03,49923.26104865756
2020-04,55446.06542595632
2020-05,58028.301947988766
2020-06,59908.827898468466
2020-07,63044.551404718506
2020-08,66884.45046996932
2020-09,64836.56484538691
2020-10,63447.998495060296
2020-11,71504.51806251987
2020-12,75085.78805000034
2021-01,74970.42015062372
2021-02,76986.32580647254
2021-03,79022.60004281295
2021-04,82484.123534792
2021-05,83757.51659001422
2021-06,84796.57366744726
2021-07,85248.18531516164
2021-08,87384.94022405442
2021-09,83938.46612912642
2021-10,88042.99457054082
2021-11,85706.1216017229
2021-12,89137.41656341827
2022-01,84528.01977179406
2022-02,82618.56265284544
2022-03,84353.1353991658
2022-04,77686.83631834664
2022-05,77785.11147581393
2022-06,71107.78481956941
2022-07,76212.77382442803
2022-08,73536.54343891697
2022-09,66469.78119992993
2022-10,70575.86647552204
2022-11,75979.0216594555
2022-12,73091.58077050319
2023-01,78493.14668621359
2023-02,76338.78009068558
2023-03,78269.48150935073
2023-04,79302.73289266278
2023-05,78402.03945277279
2023-06,83010.26861876376
2023-07,86209.23851348284
2023-08,83767.96035262295
2023-09,80272.44598109744
2023-10,77615.90306112521
2023-11,84826.57515941335
2023-12,89306.81958237922
