Date,US 2-Year Treasury Yield
2020-03,0.029999999329447746
2020-04,0.09000000357627869
2020-05,0.12800000607967377
2020-06,0.13500000536441803
2020-07,0.08299999684095383
2020-08,0.0949999988079071
2020-09,0.08500000089406967
2020-10,0.08299999684095383
2020-11,0.07500000298023224
2020-12,0.06499999761581421
2021-01,0.04800000041723251
2021-02,0.03500000014901161
2021-03,0.013000000268220901
2021-04,0.003000000026077032
2021-05,0.00800000037997961
2021-06,0.03999999910593033
2021-07,0.03999999910593033
2021-08,0.03999999910593033
2021-09,0.02800000086426735
2021-10,0.04800000041723251
2021-11,0.04800000041723251
2021-12,0.032999999821186066
2022-01,0.17299999296665192
2022-02,0.2879999876022339
2022-03,0.49300000071525574
2022-04,0.8080000281333923
2022-05,1.0299999713897705
2022-06,1.600000023841858
2022-07,2.2980000972747803
2022-08,2.859999895095825
2022-09,3.180000066757202
2022-10,3.9749999046325684
2022-11,4.252999782562256
2022-12,4.260000228881836
2023-01,4.570000171661377
2023-02,4.710000038146973
2023-03,4.585000038146973
2023-04,4.922999858856201
2023-05,5.248000144958496
2023-06,5.1529998779296875
2023-07,5.248000144958496
2023-08,5.297999858856201
2023-09,5.300000190734863
2023-10,5.320000171661377
2023-11,5.23799991607666
2023-12,5.179999828338623
2024-01,5.199999809265137
