Date,MSCI World
2011-03,208845.8276202927
2011-04,217718.12123337903
2011-05,213201.4922993527
2011-06,209828.70444182263
2011-07,206024.04260068235
2011-08,191508.17894837537
2011-09,174967.50741366664
2011-10,193065.5910206945
2011-11,188351.7744969867
2011-12,188247.12222186793
2012-01,197693.95108574344
2012-02,207351.04110200566
2012-03,210016.83619782532
2012-04,207631.89949300085
2012-05,189708.30011798092
2012-06,199374.95615573484
2012-07,201938.012180734
2012-08,207057.49178916487
2012-09,212746.085902873
2012-10,211308.44041962948
2012-11,214014.22148528427
2012-12,218039.02936768596
2013-01,229145.81805427122
2013-02,229524.18609100475
2013-03,234900.4177162718
2013-04,242297.6308153439
2013-05,242389.14575428073
2013-06,236416.56834922355
2013-07,248862.91891202447
2013-08,243565.89394470843
2013-09,255747.2657121903
2013-10,265758.1072032142
2013-11,270481.04333407735
2013-12,276204.33021906187
2014-01,265974.1717419725
2014-02,279289.1170562163
2014-03,279693.3133509773
2014-04,282559.2933898791
2014-05,288118.6186664966
2014-06,293272.79104620387
2014-07,288592.3918242403
2014-08,294951.56404451386
2014-09,286946.2708459552
2014-10,288802.5254296738
2014-11,294590.3510729887
2014-12,289840.05612065946
2015-01,284588.24654826056
2015-02,301261.8857817034
2015-03,296546.09228022065
2015-04,303500.84499856504
2015-05,304546.3473741271
2015-06,297464.94053123303
2015-07,302804.43863397214
2015-08,282766.4934153885
2015-09,272336.78772998316
2015-10,293917.9235356015
2015-11,292455.47016995633
2015-12,287314.8815407672
2016-01,270126.46280411974
2016-02,268116.0677274322
2016-03,286310.13041675964
2016-04,290840.5981952106
2016-05,292474.09202512674
2016-06,289196.8368355601
2016-07,301414.94212557
2016-08,301665.44434169825
2016-09,303267.88048850483
2016-10,297398.74366251077
2016-11,301675.07413666655
2016-12,308893.657727751
2017-01,316348.8409170626
2017-02,325125.4743152323
2017-03,328588.6929625969
2017-04,333454.03526673256
2017-05,340508.0832881605
2017-06,341818.1818181818
2017-07,349998.72453046776
2017-08,350491.5659577182
2017-09,358358.08807117125
2017-10,365130.5124198846
2017-11,373041.9948343484
2017-12,378086.85947514424
2018-01,398049.87085870985
2018-02,381559.707917477
2018-03,373243.0726061031
2018-04,377532.03022862785
2018-05,379897.83489046915
2018-06,379716.59066994034
2018-07,391576.48034182575
2018-08,396421.415133446
2018-09,398628.7427059086
2018-10,369358.3112783393
2018-11,373554.1596250119
2018-12,345149.8357832977
2019-01,372004.52791683935
2019-02,383190.6508083288
2019-03,388223.65358247503
2019-04,401989.7962437422
2019-05,378794.617518574
2019-06,403755.23739676666
2019-07,405755.1736232901
2019-08,397455.6296036478
2019-09,405913.905806575
2019-10,416243.3595867479
2019-11,427835.84707120305
2019-12,440653.04040049744
2020-01,437970.91929466533
2020-02,400951.30895060743
2020-03,347888.332642454
2020-04,385893.11565319984
2020-05,404534.93192181375
2020-06,415235.2922419566
2020-07,435100.7302063072
2020-08,464171.678199037
2020-09,448158.15822199546
2020-10,434410.89250980515
2020-11,489955.3585663723
2020-12,510727.8466885622
2021-01,505651.92436465673
2021-02,518608.90915468254
2021-03,535864.0987213418
2021-04,560803.2907113931
2021-05,568881.9234080545
2021-06,577360.989764357
2021-07,587703.198239852
2021-08,602330.1552884155
2021-09,577321.0675679985
2021-10,610020.8539268518
2021-11,596653.4868148337
2021-12,622154.5231338287
2022-01,589235.8024297694
2022-02,574333.2801887695
2022-03,590094.9587066738
2022-04,541073.7540257007
2022-05,541483.5623864034
2022-06,494579.1907145818
2022-07,533846.9436561333
2022-08,511527.94872612477
2022-09,463976.40381365386
2022-10,497295.87704473705
2022-11,531873.090781544
2022-12,509285.8646089091
2023-01,545320.9400210453
2023-02,532212.2381301617
2023-03,548657.4407703836
2023-04,558275.1187781001
2023-05,552701.6357896752
2023-06,586127.8020471286
2023-07,605817.480309939
2023-08,591347.0871464558
2023-09,565837.313861165
2023-10,549419.0874015497
2023-11,600928.2867255508
